Commodity or service,United Kingdom,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Northern Ireland
Food and non-alcoholic drinks,58.3,58.5,49.9,54.1,51.1,57.6,55.9,61.6,63.8,63.6,60.6,54.2,56.9,64.1
"Alcoholic drinks, tobacco and narcotics",12.2,11.9,11.8,13.3,12.2,12.8,11.3,11.9,10.1,12.6,11,10.3,15.1,14.5
Clothing and footwear,23.3,23,20.8,22.5,20.7,21.4,20.1,22.3,27.6,25.7,21.8,22.6,22.9,36
"Housing(net)1, fuel and power",72.3,74.9,57.5,63.9,61.7,65.7,64,73.4,113.5,79.6,69.6,60.6,59.3,54.7
Household goods and services,33.5,34.3,33,34.7,29.2,33.2,31.9,34.5,35.7,38.3,35,30.7,27.8,29.7
Health,6.5,6.9,3.2,5,6.3,6.1,5.7,8.3,7,8.2,9.7,5.1,4.5,5.4
Transport,70.3,70.6,53.3,59,61,70.8,65.2,78.6,69,87.4,76.7,62.8,73.8,62
Communication,14.8,14.9,13.1,14.1,13.2,15.2,14.1,15,16.9,15.7,14.7,13.7,13.9,16.6
Recreation and culture,65.6,66.8,59.6,65.1,61.1,68,56.1,69,70.2,75.8,67.3,57.8,61,56.9
Education,8.3,8.6,4.7,4.3,5.1,16.9,4.1,7.5,16,6.6,10.7,11,6.3,3.9
Restaurants and hotels,41.4,41.9,34.9,38.4,38.4,35.5,36.1,42.5,54.7,45.4,40.8,34,39,47.6
Miscellaneous goods and services,39.4,40.6,31,36.8,35.1,37.9,36.4,45.6,43.4,47.8,41.4,31.3,33.6,37.7
Other expenditure items,70.6,72.8,57.8,60.7,56.1,59.3,58.9,75.5,103.9,85.3,71.4,56.8,61.9,53.6
