Commodity or service,United Kingdom,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Northern Ireland
Food and non-alcoholic drinks,57.7,58.1,49.8,55.3,51,57.9,56.7,60.3,61.6,63,58.9,52.9,55.3,62.5
"Alcoholic drinks, tobacco and narcotics",11.8,11.5,10.6,12.7,11.7,12.4,10.9,11.5,9.5,12.8,10.7,10.9,13.4,16.1
Clothing and footwear,24.1,24.1,23.4,23.2,20.9,22.8,25.1,25,27.1,26.1,20,22,21.8,35.6
"Housing(net)1, fuel and power",72.6,75.2,56.1,62.2,61.2,66.7,66.9,66.6,122,76.9,70.6,57.6,62.3,52.4
Household goods and services,37.2,37.9,35.1,33.6,35.7,38,33.3,37.9,41.8,45.7,33.7,39,30.1,35
Health,7.2,7.6,3.8,5.6,7.9,6,5.1,8.4,8.2,10.2,9.7,4.3,5,6.1
Transport,75.3,76.5,58.5,69.9,67.4,79.4,65.1,87.4,71.8,95.7,76.2,65.9,71.7,66.6
Communication,16.2,16.4,13.9,15.8,15.1,16.5,15.7,16.4,18.3,17.7,15.2,14.9,15.2,17.5
Recreation and culture,70.2,71.4,65.2,70.5,69.4,67.2,58.5,70.3,71.5,86.2,71.7,57.7,70.4,57.1
Education,7.3,7.5,3.5,3.1,6.2,12.7,1.7,9.2,13.4,7.9,7.1,1.4,8.5,6.8
Restaurants and hotels,45.9,46.8,38.6,43.2,42.8,42.1,39.5,47.2,59.7,52,43.8,36.9,41.7,47.9
Miscellaneous goods and services,40.6,41.6,29.7,38,33.7,39.9,37.7,47,46,49.2,40.6,34.3,35.4,39.2
Other expenditure items,70.8,72.9,48.9,59.3,66.6,69.2,56,70.7,92.7,88.7,77.4,60.9,61.5,54.2
