Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-04-30T23:19:00+00:00,,,51.615192,-3.957617,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-04-30T23:23:00+00:00,,,51.615192,-3.957617,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-04-30T23:27:00+00:00,,,51.615192,-3.957617,Female,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-04-30T23:40:00+00:00,,,51.708785,-3.829912,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T01:29:00+00:00,,,51.622109,-3.921639,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T01:37:00+00:00,,,51.477069,-3.176377,Male,25-34,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-05-01T01:55:00+00:00,,,51.647832,-3.786376,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T04:44:00+00:00,,,51.612018,-3.408357,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,False,
Person and Vehicle search,2016-05-01T09:46:00+00:00,,,51.521579,-3.112835,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T12:09:00+00:00,,,51.491551,-3.154149,Female,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-05-01T16:40:00+00:00,,,,,Male,over 34,Mixed - Any other Mixed ethnic background (M9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T16:52:00+00:00,,,,,Male,10-17,Mixed - Any other Mixed ethnic background (M9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T16:57:00+00:00,,,,,Male,10-17,Mixed - Any other Mixed ethnic background (M9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T18:29:00+00:00,,,51.467828,-3.197403,Male,10-17,Asian or Asian British - Indian (A1),Other,,Controlled drugs,Suspect arrested,True,
Person search,2016-05-01T22:56:00+00:00,,,51.658797,-3.905118,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-01T23:09:00+00:00,,,51.658797,-3.905118,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-05-02T00:03:00+00:00,,,,,,,,,,,,,
Person search,2016-05-02T01:58:00+00:00,,,51.621066,-3.946731,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-02T01:59:00+00:00,,,51.621066,-3.946731,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-05-02T07:42:00+00:00,,,51.594048,-3.792364,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-05-02T15:24:00+00:00,,,51.643651,-3.441740,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-05-02T15:26:00+00:00,,,51.643770,-3.442986,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2016-05-02T15:51:00+00:00,,,51.504959,-3.576503,Female,18-24,White - White British (W1),White,,,,,
Person search,2016-05-02T19:30:00+00:00,,,51.506755,-3.189360,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2016-05-03T00:39:00+00:00,,,51.442157,-3.179551,Male,18-24,White - White British (W1),White,,,,,
Person search,2016-05-03T10:47:00+00:00,,,,,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person and Vehicle search,2016-05-03T10:54:00+00:00,,,51.516298,-3.581867,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
