Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-07-01T01:21:00+00:00,,,51.482183,-3.190017,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-01T01:32:00+00:00,,,51.482183,-3.190017,Male,18-24,Black or Black British - African (B2),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-01T03:06:00+00:00,,,51.480245,-3.186049,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,
Person and Vehicle search,2016-07-01T03:20:00+00:00,,,51.493627,-3.218318,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2016-07-01T03:59:00+00:00,,,51.482183,-3.190017,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T04:53:00+00:00,,,51.482183,-3.190017,Male,25-34,Mixed - Any other Mixed ethnic background (M9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-01T05:01:00+00:00,,,51.483915,-3.220968,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-01T05:25:00+00:00,,,51.647560,-3.971356,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-01T08:07:00+00:00,,,51.598937,-3.341376,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T10:23:00+00:00,,,,,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-01T12:01:00+00:00,,,51.662031,-3.805760,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-01T15:19:00+00:00,,,51.526640,-3.702526,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Suspect arrested,True,
Person search,2016-07-01T15:20:00+00:00,,,51.612122,-3.961615,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-01T15:28:00+00:00,,,51.615373,-3.948900,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T15:34:00+00:00,,,51.612122,-3.961615,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T15:40:00+00:00,,,51.615373,-3.948900,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T15:45:00+00:00,,,51.615373,-3.948900,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T15:50:00+00:00,,,51.615373,-3.948900,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T16:25:00+00:00,,,51.612122,-3.961615,Male,over 34,Black or Black British - Any other Black ethnic background (B9),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-01T16:27:00+00:00,,,,,Male,,Not Stated (NS),White,Police and Criminal Evidence Act 1984 (section 1),Firearms,Nothing found - no further action,False,
Person search,2016-07-01T16:45:00+00:00,,,,,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T17:16:00+00:00,,,51.480913,-3.181286,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T17:25:00+00:00,,,,,,,,,,,,,
Person search,2016-07-01T17:26:00+00:00,,,51.480913,-3.181286,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T17:59:00+00:00,,,51.602192,-3.337429,Female,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-01T18:11:00+00:00,,,51.486225,-3.190381,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person search,2016-07-01T18:32:00+00:00,,,51.486225,-3.190381,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-01T18:57:00+00:00,,,51.480913,-3.181286,,,,,,,,,
Person search,2016-07-01T19:42:00+00:00,,,51.654005,-3.809012,Male,over 34,Chinese or other ethnic group - Any other ethnic group (O9),Other,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2016-07-01T19:56:00+00:00,,,,,Male,10-17,White - White British (W1),White,,,,False,
Person search,2016-07-01T23:01:00+00:00,,,51.652289,-3.811213,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-01T23:15:00+00:00,,,51.652289,-3.811213,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-01T23:16:00+00:00,,,51.652289,-3.811213,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2016-07-01T23:20:00+00:00,,,51.493754,-3.162373,Male,over 34,White - White British (W1),White,,,Suspect arrested,False,
Person search,2016-07-01T23:22:00+00:00,,,51.485297,-3.144515,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-01T23:34:00+00:00,,,51.652289,-3.811213,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-02T03:31:00+00:00,,,51.485297,-3.144515,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-02T13:00:00+00:00,,,51.638413,-3.924843,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-02T13:00:00+00:00,,,51.638413,-3.924843,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-02T15:45:00+00:00,,,51.481068,-3.182845,Male,18-24,Mixed - White and Asian (M3),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-02T17:13:00+00:00,,,51.482989,-3.176976,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-02T20:38:00+00:00,,,51.482497,-3.174054,Male,25-34,,,,,,,
Person search,2016-07-02T21:31:00+00:00,,,51.600608,-3.340718,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-02T22:51:00+00:00,,,,,Male,10-17,Asian or Asian British - Pakistani (A2),Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-02T23:38:00+00:00,,,51.679200,-3.926630,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-02T23:47:00+00:00,,,,,,,,,,,,,
Person search,2016-07-03T00:14:00+00:00,,,,,,,,,,,,,
Person search,2016-07-03T00:15:00+00:00,,,51.413726,-3.203351,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-03T00:59:00+00:00,,,51.688833,-3.553964,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,
Person search,2016-07-03T10:11:00+00:00,,,,,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-07-03T17:01:00+00:00,,,51.514012,-3.565272,Female,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-07-03T21:05:00+00:00,,,51.607734,-3.340278,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-03T21:12:00+00:00,,,51.607734,-3.340278,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-07-03T21:18:00+00:00,,,51.607734,-3.340278,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-07-03T21:18:00+00:00,,,,,Male,10-17,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person and Vehicle search,2016-07-04T03:22:00+00:00,,,51.759233,-3.359380,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person and Vehicle search,2016-07-04T03:22:00+00:00,,,51.759233,-3.359380,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person and Vehicle search,2016-07-04T03:26:00+00:00,,,51.759233,-3.359380,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-04T03:28:00+00:00,,,51.759233,-3.359380,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-04T04:30:00+00:00,,,,,Female,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2016-07-04T09:10:00+00:00,,,51.613223,-4.023844,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person and Vehicle search,2016-07-04T21:54:00+00:00,,,51.609241,-3.333521,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person and Vehicle search,2016-07-04T21:56:00+00:00,,,51.609241,-3.333521,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-04T23:22:00+00:00,,,51.479883,-3.180870,Male,10-17,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-05T04:39:00+00:00,,,51.753669,-3.408066,Male,25-34,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-05T07:20:00+00:00,,,51.609080,-3.978382,Male,10-17,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2016-07-05T07:27:00+00:00,,,51.609080,-3.978382,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-05T10:07:00+00:00,,,51.537387,-3.537034,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-05T11:52:00+00:00,,,51.625646,-3.459444,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,
Person search,2016-07-05T14:52:00+00:00,,,51.503583,-3.559713,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-05T23:01:00+00:00,,,51.410563,-3.252012,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,
Person search,2016-07-05T23:05:00+00:00,,,51.410563,-3.252012,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-06T05:22:00+00:00,,,51.509690,-3.234251,Male,10-17,Asian or Asian British - Pakistani (A2),Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-06T10:11:00+00:00,,,,,,,,,,,,,
Person and Vehicle search,2016-07-06T12:06:00+00:00,,,51.638064,-3.981508,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-06T12:22:00+00:00,,,51.480329,-3.242171,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-06T14:24:00+00:00,,,51.659128,-3.868842,Male,25-34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-06T23:14:00+00:00,,,,,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person search,2016-07-07T00:13:00+00:00,,,51.407956,-3.272774,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person search,2016-07-07T07:00:00+00:00,,,51.720190,-3.854377,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-07T10:01:00+00:00,,,51.622250,-3.933852,Male,18-24,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-07T13:51:00+00:00,,,51.505603,-3.577447,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-07T20:54:00+00:00,,,,,Male,18-24,,,,,,,
Person search,2016-07-07T21:02:00+00:00,,,51.670519,-3.937267,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,
Person search,2016-07-07T22:35:00+00:00,,,51.548070,-3.571647,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-07-07T22:50:00+00:00,,,51.620501,-3.988442,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,
Person search,2016-07-07T22:58:00+00:00,,,51.548070,-3.571647,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-07T23:12:00+00:00,,,51.548070,-3.571647,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-08T00:31:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person search,2016-07-08T03:31:00+00:00,,,51.620501,-3.988442,Male,18-24,White - White British (W1),White,,Article for use in theft,Suspect arrested,False,
Person search,2016-07-08T08:13:00+00:00,,,51.599883,-3.341982,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-08T15:11:00+00:00,,,51.659489,-3.924420,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,
Person and Vehicle search,2016-07-08T18:05:00+00:00,,,51.514012,-3.565272,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2016-07-08T20:44:00+00:00,,,51.579557,-4.174506,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,False,
Person search,2016-07-08T21:11:00+00:00,,,51.482974,-3.147639,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-08T21:11:00+00:00,,,51.482974,-3.147639,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,
Person search,2016-07-08T21:11:00+00:00,,,51.482974,-3.147639,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-08T22:45:00+00:00,,,51.657468,-3.808947,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,
Person search,2016-07-08T23:18:00+00:00,,,51.666827,-3.925541,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-08T23:18:00+00:00,,,51.666827,-3.925541,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T01:17:00+00:00,,,51.649744,-3.816503,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2016-07-09T02:12:00+00:00,,,51.629782,-3.977751,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,False,
Person search,2016-07-09T02:29:00+00:00,,,51.599928,-3.816391,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T05:14:00+00:00,,,51.485140,-3.221591,Female,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-09T05:14:00+00:00,,,51.484528,-3.217298,Female,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-09T05:29:00+00:00,,,51.508593,-3.227478,Male,10-17,Not Stated (NS),Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2016-07-09T05:32:00+00:00,,,,,Male,10-17,Not Stated (NS),Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2016-07-09T07:53:00+00:00,,,51.494973,-3.143605,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person search,2016-07-09T09:49:00+00:00,,,,,,,,,,,,,
Person and Vehicle search,2016-07-09T10:25:00+00:00,,,51.764362,-3.340232,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,
Person and Vehicle search,2016-07-09T10:31:00+00:00,,,51.568979,-3.419103,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-07-09T10:34:00+00:00,,,51.568979,-3.419103,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-07-09T11:53:00+00:00,,,51.621578,-3.942954,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T16:37:00+00:00,,,51.410563,-3.252012,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T16:48:00+00:00,,,51.410563,-3.252012,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T16:51:00+00:00,,,51.410563,-3.252012,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T16:53:00+00:00,,,51.410563,-3.252012,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person and Vehicle search,2016-07-09T18:08:00+00:00,,,51.582704,-4.062485,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T18:48:00+00:00,,,51.621578,-3.942954,Male,over 34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-09T20:03:00+00:00,,,51.662675,-3.804802,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,False,
Person search,2016-07-09T20:16:00+00:00,,,51.594374,-3.327455,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,
Person and Vehicle search,2016-07-09T21:27:00+00:00,,,51.579557,-4.174506,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-07-10T01:41:00+00:00,,,51.713120,-3.444078,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,
Person search,2016-07-10T03:22:00+00:00,,,51.713560,-3.447784,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2016-07-10T04:52:00+00:00,,,51.713120,-3.444078,,,,,,,,,
Person search,2016-07-10T20:53:00+00:00,,,51.477657,-3.214004,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
